sentence,start_time,end_time
Ik wil eigenlijk mijn penningmeesterschap overdraaien.,0.0,9.84
Wie stemt er op?,10.1,10.7
"Cecile, Malfik en Klaas.",10.7,12.94
En toen kreeg ik twee stemmen.,13.02,14.82
Terwijl ik totaal niet met geld om kan gaan.,15.2,16.98
Het gevaar schuilt hier dicht onder het wateroppervlak.,17.22,20.92
Drie jokers en min 500 euro.,24.24,27.8
"Ja zeg, dit is de hoofdvlees.",28.0,30.14
Daarboven staat een kist.,30.36,32.7
Dus ik weet zeker dat ik ze alle vier gehad heb.,32.72,34.26
"Maar twee schoten, hè?",34.26,34.86
"O, kwaad!",36.9,38.62
Wat geld!,39.72,41.16
Wat moet een mens zonder Ellie Lust?,41.34,44.04
Ellie.,44.48,45.14
Kwaad.,48.22,49.82
"Het lijkt wel een uitgebreid gezin, de kandidatengroep van dit jaar.",58.0,63.18
Lekker huiselijk rollen ze door het spel heen.,63.32,65.78
"Schone schijn misschien, want de openheid is ingeruild voor mysteries.",66.34,71.26
Er borrelt van alles onder het oppervlak dat het verse gezinsgeluk kan verstoren.,71.38,75.7
"Bij iedere afvaller die vertrekt, valt het afscheid de groep zwaarder.",76.0,80.12
Al leek Marjolein vooral perplex te staan dat juist politievrouw Ellie... na een glorieuze klimpartij het spel moest verlaten.,80.54,87.48
Weg als haar hoofdverdachte.,87.34,89.34
Of speelt de actrice dat?,90.1,91.36
En kiest ze geheel volgens eigen script gewoon weer een nieuwe netverdachte?,91.64,96.86
"Ja, ik heb hiernaar weg!",100.28,104.28
Het schoolverhaal met 18 jullen.,107.24,111.62
MUZIEK MUZIEK Altijd lekker geslapen.,117.34,159.42
Ik denk dat het komt door de gedachte dat jij zo dicht bij me bent.,160.34,163.04
Dat ik daardoor elke keer...,163.38,164.62
"Zo, dit is lang geleden.",165.7,168.14
Oud met Jim.,168.44,169.44
"De groep wordt kleiner, dus ze zitten dichter op de mol.",169.96,173.58
Maar de mol zit ook dichter op ons.,173.86,175.76
"Het zal allemaal meespelen, maar het feit is wel, we zijn nu met z'n zevenen.",175.34,180.28
En we zijn in aflevering vijf.,180.9,183.2
Dus we doen blijkbaar iets goed.,183.74,186.5
Vind je hier al iemand?,187.26,188.86
Nee.,188.86,189.94
Jij hebt al gestreken vanochtend.,190.36,192.12
Ik dacht het wel.,192.12,193.52
De stand mannen-vrouwen is op dit moment 4-3.,194.32,197.98
"En ik bedacht me opeens dat de vrouwen die over zijn, alle drie moeders zijn.",198.7,203.16
Misschien zijn wij eigenlijk de sterkste vrouwen van de groep geweest.,203.34,207.2
"De thee is hier niet, hè?",208.12,209.76
Het is al even water.,209.76,210.8
Ik blijf gewoon doen wat ik gedaan heb.,211.12,212.96
Want tot nu toe heeft dat dus blijkbaar gewerkt.,212.98,214.7
Ik heb heel goed opgelet.,214.8,216.52
Ik heb alles opgeschreven.,216.52,218.02
Ik ga kijken of ik het volhoud.,218.3,219.46
Ik ga ervoor.,219.46,220.2
Ik wil het volhouden.,220.2,221.32
Want ik zou het helemaal te gek vinden.,221.4,223.68
Maar ik probeer nu gewoon in het moment en per minuut te leven eigenlijk.,224.2,228.36
Ik dacht dat jij eruit was.,228.56,230.42
Zit je nog in het spel?,230.42,231.94
We doen het een beetje.,233.34,237.1
Ik ben nog steeds onderdeel van dit spel.,237.26,239.88
Ik heb ook het idee dat ik nog wel wat te spelen heb.,240.24,242.46
"Dus ja, ik heb zin in de volgende opdracht.",242.72,246.16
Kom maar op.,246.16,246.82
"Met je zin in, Tim?",247.42,248.54
In wat?,248.54,249.34
Gewoon vandaag.,249.46,250.38
Ja?,250.38,251.22
Ja?,251.22,251.68
"Nou, jij?",251.9,252.46
Ja hoor.,252.46,253.08
MUZIEK Wij kwamen aan met ons busje op Rincon Beach.,263.34,290.1
Eén van de mooiste stranden van het eiland.,290.22,292.0
"Een heel mooie kleur, lichtblauw water.",291.34,295.06
Het ziet er fantastisch uit.,295.32,296.8
En er liep een pad langs het strand waar je lekker kon wandelen.,297.28,300.02
Met palmen ernaast.,300.06,301.16
Maar we zagen ook dat er zeven fietsen stonden.,301.88,304.8
Goedemorgen.,305.2,306.2
Goedemorgen.,306.2,307.18
We gaan een lastige quiz spelen vanochtend.,307.66,310.72
Als jullie het handig spelen kunnen jullie de antwoorden bij elkaar fietsen.,311.3,314.74
Opnieuw stonden we op een prachtige strand.,315.2,316.98
En opnieuw stond daar Art in een strak gestreken outfit. en die vertelde ons dat we moesten gaan fietsen.,317.04,323.68
"Aan dit pad, we zien allemaal palmbomen... en aan sommige hangt het juiste antwoord op een vraag die ik ga stellen.",324.0,330.4
Er was een pad met bomen en aan die bomen hingen kaartjes... met de antwoorden op die vragen.,333.24,338.6
Kat in het bakkie.,338.94,339.84
Wij mochten naar die antwoorden toefietsen... en ze doorsignen met de portofoon.,339.84,343.3
Ik ga zo dadelijk naar de andere kant van de baai... en over tien minuten precies stel ik daar de eerste vraag.,343.56,349.18
De eerste vraag.,348.34,349.16
Het is vrij essentieel dus dat één van jullie op dat moment tegenover me staat om het juiste antwoord te geven.,349.16,354.96
"En dat krijg je door van je teamgenoten, als het goed is.",355.2,359.24
Vanaf dat moment stel ik elke minuut een nieuwe vraag.,359.48,363.12
"We zijn nog met z'n zevende, dus we hadden de sprinter.",363.4,365.64
Die moest dus gelijk binnen tien minuten bewaard zijn.,365.64,367.74
"En vervolgens zouden de andere zes, moesten dus allemaal eigenlijk twee enveloppen vinden om de antwoorden te geven.",368.16,374.38
De rest mag pas vijf minuten na de eerste fietser vertrekken.,374.38,378.1
"Ik ga nu alvast naar de andere kant van de baai, dan hebben jullie even de tijd om tactiek te bepalen.",378.34,382.76
Dus wij gingen nadenken over een tactiek.,383.68,387.6
En dat ging eigenlijk best wel soepeltjes.,387.84,389.3
Wie is de sprinter?,389.46,390.38
Jij bent de sprinter.,390.38,392.38
Taken had bedacht dat hij het snelste dat parcours zou kunnen afleggen.,393.18,397.4
"Bijarts zou kunnen zijn en ondertussen een beetje verkennen... waar die enveloppen hingen, hoe ze eruit zagen, of je duidelijk een cijfer kon zien.",397.74,405.54
"Als ik als Sprinter volg met jullie zes, gaan we vraag 1 tot en met 6 vinden.",405.34,408.7
"Vervolgens als vraag 1 geweest is, gaat 1 op zoek naar 7.",409.34,412.92
Ik snap het. 2 gaat op zoek naar 8.,413.02,414.68
Daar wacht je mee te omschrijven.,414.8,416.66
Snap je?,416.72,416.98
Pas als je je vraag beantwoordt.,416.98,417.94
En dan heb je gewoon vijf minuten tijd om die te vinden.,417.98,420.3
"Wij hadden een hele goede tactiek, ook bedacht door taken.",420.3,423.26
Dat we de snelste voorop zouden laten gaan en de langzaamste achter.,423.72,427.92
En die zou dan bij vraag nummer 1 blijven.,428.12,430.38
"En als die eerste vraag dan beantwoord was, kon diegene alweer op pad. om naar vraag zeven te gaan.",430.9,436.74
En op die manier zouden we zo had ze van antwoord één naar antwoord twaalf... alle antwoorden kunnen geven.,437.08,442.36
Ik hoop dat het een succes is.,442.92,445.2
"Doet hij dat goed, hè?",446.16,447.76
Het fietsen was best pittig.,449.34,451.48
"Want ja, in sommige stukken was het zand een stuk muller dan op andere plekken.",451.7,455.82
En dan merkt hij wel dat je wiel een beetje wegschoot en dat het een stukje zwaarder was.,455.94,459.32
Wat ik echt probeer te doen is harde stukken zand uit te kiezen.,459.4,462.28
"Ze gingen af en toe een beetje links rijden, af en toe een beetje rechts en een beetje gokken waar het goed te doen was.",462.2,466.24
"Hé, wacht even.",466.66,467.14
Taken staat te roepen als hij wat zag.,467.14,468.62
Hij heeft nog niks gezien dus.,468.88,470.32
Dus het is een eind die kant op.,470.38,471.7
"Taken zou zeggen, als hij ging fietsen, dat hij enveloppen zag.",472.12,476.4
"En dat duurde eigenlijk vrij lang, zodat hij riep, ja, ik heb er een gezien.",476.46,480.02
"Dus wij dachten, nou, dat duurt wel even.",480.1,481.8
Ik kan ze niet lezen.,484.52,486.06
"Het zijn dichte enveloppen, over.",486.06,487.64
"Ik had afgesproken dat ik op het moment dat ik een envelop zou zien, dat ik het nummer door zou geven via de portofoon.",487.6,493.06
"Alleen de eerste envelop die ik uiteindelijk zag en waar ik het doorgeef, lag vervolgens bijna in het zand met mijn snuffer.",493.42,498.78
Zie je ze goed hangen?,499.24,500.42
"Ja, je ziet ze goed hangen.",500.42,502.44
Dus heb ik maar doorgegeven dat ik ze niet meer kon helpen.,503.3,506.12
Omdat ik gewoon zoveel mogelijk kwaad wilde maken.,506.44,508.5
Want het zou toch balen zijn als ze tien minuten om zijn en er staat niemand bij Art.,508.68,512.8
En toen mochten wij vijf minuten later...,513.44,516.62
Taken en wij ook hadden geen enkel idee van de afstand die we moesten overbruggen.,517.6,529.9
Dus we gingen als dollen op pad.,530.02,532.68
Het was klaar voor de start af en wij zullen zo dwazend gaan fietsen.,532.84,536.7
Wat?,537.58,538.04
"Tim ging voorop, daarna Annemieke, daarna ik, daarna Klaas, daarna Marjolein en daarna Cécile.",538.46,544.68
"Hoewel ik heel goed kan fietsen en stevige kuiten heb, sloeg de schrik me om het hart, want van de top 3 van angsten is 1 rijden op de snelweg en invoegen, 2 aan een rotswand bungelen en 3 op een fiets.",547.6,561.0
Snel rijden door zand of door kiezels.,561.0,563.14
Ik durf dat gewoon niet.,563.14,564.38
Achteraf gezien denk ik dat ik wellicht iets rustiger had kunnen fietsen.,591.0,594.58
En misschien iets meer om me heen had kunnen kijken.,594.98,596.64
"Want ja, ik was ruim binnen de tijd bij Art.",596.82,598.94
Taken.,599.34,599.84
Goedemiddag.,599.84,601.04
Het verrast mij niet dat jij de eerste bent.,601.14,602.78
"Ja, ze denken toch dat ik fietsen leuk vind schijnbaar.",603.84,605.92
Dikke vijf minuten over gedaan.,606.02,607.14
Je mag melden dat je er bent.,607.14,608.34
Ik ben bij het ijsbrug.,608.88,610.4
Over.,610.4,610.84
Heel goed.,613.02,614.56
Succes.,614.56,615.08
Zet hem op.,615.08,615.6
Taken was ruim op tijd bij Art.,616.48,618.14
Maar die heeft ons heel weinig informatie gegeven.,618.14,621.74
Ik heb een porto gevonden.,622.38,624.16
Wie heeft hem wel?,624.16,625.3
"Wat ik opvallend vond, is dat ik een portofoon aantrof.",626.36,629.58
Echt midden op het pad.,629.64,630.42
Heel opvallend.,630.42,631.3
Waar is hij dan?,632.78,633.76
"Ik heb hem ook gezien, Tim.",634.62,636.18
Ik kan geen twee dingen tegelijk.,637.04,639.02
En porto en fietsen.,639.02,640.2
Mijn paar ogen was best relevant.,643.24,645.84
Want ik reed vooraan en ik moest coördineren.,645.94,647.74
"Coördineren, jongens, hier is envelop 1, want ik kwam ze als eerste tegen.",647.14,650.08
"En hier twee, en hier drie, vier, vijf, zes, et cetera.",650.18,652.74
"Ik dacht, ik fiets achter Annemieke en Tim aan... en ik merk wel wanneer de eerste envelop komt.",653.16,658.94
"Fiets gevonden, Tim.",659.04,660.04
Heb je er één?,660.66,661.94
Is dit de eerste?,661.94,662.88
"Ja, hier hangt een envelop.",662.96,664.06
Oké.,664.06,664.88
Hier zit er één.,665.12,666.06
Eén.,666.06,666.8
"Maar ik geloof dat dat envelop zeven was, dus we hadden er al best wel wat gemist.",667.54,671.92
Envelop!,672.0,672.52
"Dat is die voor Cecile, ja?",672.52,673.84
"De eerste, ja.",674.5,676.08
"Maar wacht even, waar is 1 tot en met 6 dan gebleven?",675.96,679.12
Die hadden we niet gezien.,679.3,680.22
Nummer 8.,681.94,682.9
We hebben nog één minuut voor de eerste vraag voor envelop 1.,683.18,686.52
Nog één minuut over.,686.68,687.72
Klaas!,687.82,688.68
"Annemiek, mijn porto is verdwenen!",689.56,692.04
Serieus!,692.44,693.24
Verdacht is bij elke opdracht Marjolein.,693.72,696.76
"Als ik mijn porto verlies, ga ik terug om mijn porto te pakken.",697.02,702.24
Marjolein fietst door om aan mij te vertellen dat ze geen porto meer heeft.,701.96,707.12
Komt de eerste vraagtake.,709.42,711.08
Vraag 1.,711.08,712.3
Wat is de lokale lekkernij van de Dominicaanse Republiek?,712.84,715.94
"Vraag 1 is, wat is de lokale lekkernij van de Dominicaanse Republiek?",716.5,720.36
Envelop 1.,720.46,721.12
"Vraag 1, over.",721.12,722.16
"Ik heb geen antwoord, over.",723.26,724.7
Niemand?,724.7,725.4
Ik heb ook geen antwoord.,726.02,727.3
"Nou, eh, niemand.",727.96,729.96
"Tijd is om taken, helaas.",729.96,731.2
Envelop 1 hoeft niet meer gevonden te worden.,732.06,734.06
We gaan door naar envelop 2.,734.08,735.08
Over.,735.08,735.46
Envelop 1 was dus niet gevonden.,736.12,737.4
En eigenlijk hetzelfde geldt voor envelop 2.,737.5,740.18
Niemand bij envelop 2.,740.34,741.44
Staat er iemand bij envelop 2?,741.66,743.38
Niemand.,744.4,745.22
"Ik zie geen envelop, hoor.",745.22,746.76
"Ik neem aan dat die stilte betekent... nee, niemand is bij envelop 2.",747.5,751.86
Over.,751.86,752.24
Ik denk dat we goede conclusies maken.,753.06,754.84
Geen antwoord?,755.42,756.22
"Nee, wederom niks.",756.22,757.2
Jammer.,757.28,757.54
Tweede vraag ook niet.,757.54,758.58
We waren eigenlijk al veel te ver voor die eerste paar enveloppen.,758.96,762.18
Enveloppe 3.,762.54,763.22
Is iemand bij enveloppe 3?,763.22,764.36
Over?,764.36,764.76
"Nee, over.",765.34,765.92
"Ja, Tim die vooraan fietste.",766.34,768.22
"Ja, weet ik veel waar hij op gelet heeft.",768.84,770.7
Maar in ieder geval niet op de eerste antwoorden.,770.76,772.98
Is dit de eerste enveloppe?,773.46,774.66
Nee.,774.66,775.06
Ik heb helemaal geen enveloppe gezien.,775.8,777.38
Ze zijn er wel geweest.,777.9,778.92
Je bent bij de eerste enveloppe.,778.92,779.92
Ik kijk naar de front en ik niet val.,779.94,781.58
Ik kwam Cecile op een gegeven moment tegen.,781.94,783.78
"Ik zeg, heb jij nog wat gezien?",784.14,785.3
"Ja, het pad, want ik wil niet vallen.",785.44,787.3
Is er iemand bij envelop nr. 4?,787.2,789.86
Ik sta naast klas nr. 9.,790.02,791.56
Ik loop even verder.,791.56,792.58
Nee.,793.18,793.6
"Ik ga naar 8 fietsen, want die komt eerst.",794.06,796.96
Dan trek ik wederom de conclusie dat niemand bij de envelop is.,798.04,800.74
Over.,800.74,801.12
Niemand vond eigenlijk wat.,801.44,802.66
Het kwam eigenlijk omdat de tijd ons eigenlijk inhaalde.,802.66,806.24
"Ondertussen was Cecile bij mij gekomen, dus ik was weer een beetje communicabel.",806.6,813.12
Vraag nr. 5.,813.3,814.24
Staat iemand bij envelop nr. 5?,814.24,815.8
Over.,815.8,816.24
"Ja, ik, Marjolein.",816.2,817.88
"Marjolein, wat is het antwoord op vraag 5?",817.88,820.0
"Ik sta bij boom nummer 5, maar ik zie nog geen envelop.",820.22,822.44
Even kijken.,822.44,823.54
"Je hebt nog kleine 10 seconden, dus snel zoeken, over.",824.34,826.54
"Er is een boom genummerd nummer 5, maar er is geen envelop in de buurt.",827.32,830.92
"De nummers van de boom hebben er niks mee te maken, denk ik.",831.62,833.88
"Dus ik heb hem niet, over.",834.38,835.92
"Dat is heel jammer, over.",835.92,838.02
Ik bel weer m'n porto terug.,838.86,840.16
"Ja, moet ik wel doen als we geen antwoorden doorkrijgen.",841.16,843.72
Dan heb je de hele porto niet nodig.,843.72,844.9
"Vijf vragen gesteld, nog geen enkel antwoord binnen.",845.2,847.64
Tot nu toe gaan we nul voor vijf.,848.02,849.94
"Dat is niet helemaal waar we hier voor zijn, jongens.",849.94,851.78
"Kom op, even doorpieten graag.",851.86,853.26
Over.,853.26,853.9
Weet je nog waar acht en negen hangen?,854.24,855.68
Negen ben je voorbij gekomen.,855.84,857.16
Ik ga nu naar acht.,857.16,858.06
Hartstikke goed.,858.06,859.14
Moet er niet iemand bij negen blijven dan?,859.62,861.26
"Iemand moet bij envelop negen blijven, jongens.",861.64,863.9
Is dat die hier bij jou?,863.96,864.98
"Het is acht, maar negen is daar.",864.98,866.38
Het was een totale blamage.,866.54,869.12
Heb jij zes gezien?,870.88,872.82
Nee.,872.82,873.28
Ik heb voor 8 niks gezien.,874.2,875.56
"Ik sta bij 8 en ik blijf bij 8. 9 is achter mij, dus ik wacht heel eventjes.",875.8,879.56
We hebben de helft van de vraag gehad en nog nul antwoorden kunnen geven.,879.98,883.34
"Dus we zijn nu bij nummer 7. 7, over.",883.48,886.76
"Klaas hier, ik heb 7.",887.62,889.36
Bij envelop 7 hadden we eindelijk dat iemand stond bij de juiste envelop... en antwoord kon geven.,889.54,895.5
Wie werd door de Dominicanen jarenlang beschouwd als de Robin Hood van de Karimen?,895.54,900.32
Roberto Cofresi.,901.2,903.5
Antwoord Roberto Cofresi.,904.2,905.78
Dat antwoord is binnen de tijd binnen.,906.52,908.4
"De eerste punten zijn binnen, jongens.",909.26,911.24
"Dus Tim staat bij 8 en 9, dus nu moeten 10, 11 en 12 nog zitten.",911.4,915.18
Over.,915.36,915.68
"Zitten tot nu toe alle enveloppen, hier is Marjolein... zitten ze aan de bomen die pal aan de weg zitten of op verder weg?",917.08,923.18
"Pal aan de weg, bij mij in ieder geval.",923.7,925.68
Nog een keertje alsjeblieft.,926.22,927.44
Weg bij mij.,927.76,928.38
Even wachten.,929.2,930.34
Het begin valt weg van je tekst.,930.34,932.14
Hier Ellie.,932.62,933.38
Paul aan de weg.,934.26,935.22
"Marjolein, dank je wel.",936.2,937.64
Vraag nummer acht.,937.86,938.62
Wat bedoelen de Dominicanen als ze tegen je zeggen platano?,938.62,941.04
De tijd loopt nu.,941.14,941.94
"Tim, ik heb het antwoord op vraag acht nodig.",943.02,945.24
Vraag acht.,945.3,945.9
Op het envelopje staat...,947.3,948.86
Dat het lijkt alsof je een Dominicaan bent.,949.16,951.06
Dat het lijkt alsof je een Dominicaan bent.,951.42,953.2
Ik hoorde het.,953.2,953.84
Dat antwoord is binnen de tijd binnen.,953.92,955.52
Dat is binnen tijd en binnen door naar negen als de brandweer.,956.2,958.68
Oké.,958.96,959.86
Zullen we nog even daarheen gaan?,959.86,960.94
"Het laatste stuk, ja.",960.96,961.9
Dat heeft meer zin dan weer terug.,961.9,963.46
"Klaver, Roppenhoorn en Miek, weten jullie zeker dat hier verder terug niks is?",964.06,967.58
We zijn er eerder ook al langs gefietst.,968.5,970.12
We hebben echt niks gezien.,970.12,971.3
Nee.,972.18,972.38
Waar hier negen?,972.38,973.24
Ik ben bij acht en ik zie negen niet.,973.24,974.74
Welk strand wordt naast Playa Rincon aangewezen als het strand... waar Columbus voor het eerst voet aan wal zette op Hispaniola?,974.8,981.56
Dat is vraag nummer negen.,982.26,983.28
"Tim, mag ik het antwoord op vraag nummer negen?",983.28,986.08
"Negen niet, jongens.",986.2,988.14
Daar hebben we nog weinig aan.,988.14,990.08
"O, wacht, wacht, wacht.",990.16,991.04
Hebbes.,991.04,991.8
Hé.,992.4,992.64
Playa Las Flachas.,995.4,996.92
"Nog tien seconden, Taak.",1000.02,1002.06
Nog tien seconden.,1002.06,1003.62
Ik heb hem al gegeven.,1004.14,1005.32
Playa Las Flachas.,1005.92,1006.82
Nog eenmaal graag.,1006.82,1008.7
Playa Las Flachas.,1009.08,1011.76
Playa Las Flachas.,1011.94,1013.28
Net binnen de tijd.,1013.28,1014.58
"Heel goed Tim, net binnen tijd.",1014.2,1016.42
Over.,1016.42,1016.9
Wij zaten veel te moeilijk te denken.,1017.32,1019.82
Ik ben nog wel terug gefietst samen met Rob.,1020.1,1022.12
We zijn bij nummer 10.,1022.16,1022.88
Over.,1022.88,1023.24
Maar ook toen heb ik ze eigenlijk niet gezien.,1023.86,1026.02
"Taken, je bent toch niet de mol dat je alle enveloppen hebt meegenomen?",1026.16,1028.7
"Eh, waarschijnlijk niet Marjolein.",1029.68,1031.3
Over.,1031.3,1031.66
Ik snap er niks van dat we ze niet gezien hebben.,1032.12,1035.14
"Rob, we hebben envelop 5 gevonden.",1035.6,1038.48
Heel goed Rob.,1039.02,1040.28
"Mosterd, na de maaltijd.",1040.28,1041.38
Over.,1041.38,1041.76
Sorry.,1042.36,1042.86
Vraag 11 zijn we.,1044.2,1045.6
"Cecile, ik denk dat je iets wat ver bent.",1046.56,1048.32
Over.,1048.32,1048.76
Maar ik ben wel goed aan het kijken.,1050.66,1052.52
De tijd is om.,1052.64,1053.2
Dan zijn we alleen nog op zoek naar envelop nummer 12.,1053.2,1056.36
Vraag 12 moet er gewoon bij jou in de buurt aan het aankomen.,1057.48,1060.56
Nog vijf.,1060.76,1061.56
"Drie, twee, één.",1064.02,1066.06
Klaar.,1066.8,1067.46
"Nou, helaas.",1069.2,1070.38
Ik snap er helemaal niks van.,1070.38,1072.04
"Hoe kan het dat we zeven, acht en negen wel hebben?",1072.2,1074.96
Dat is toch een duidelijke volgorde.,1075.12,1076.66
"Maar tien, elf en twaalf niet.",1076.66,1078.48
"Nou, fietsen kunnen jullie wel.",1079.76,1082.94
